job_id,potential_skill_entity,context_sentence
2,Discovery,"Apply here with your CV 30-minute screening call with our recruiter, Christian Payne In-depth interview with Mareike (Director of Product & your manager) Discovery workshop with a mix of Product people & engineers  Ready to Make an Impact?"
2,CV,"Send us your CV, and let's start the conversation."
3,Product Management,Job Description: Join a diverse Product Management team where no day is like the other!
3,OEM,"What the job is … In the role of Market Product Manager, you will drive the sales of OEM products in EMEA while ensuring our sales force is well trained on our products."
3,EMEA,"What the job is … In the role of Market Product Manager, you will drive the sales of OEM products in EMEA while ensuring our sales force is well trained on our products."
3,EMEA,"In a nutshell, you can expect to: Drive and develop sales pipeline in EMEA region Be responsible for Order Intake, Sales and profit for assigned product lines in EMEA."
3,Order Intake,"In a nutshell, you can expect to: Drive and develop sales pipeline in EMEA region Be responsible for Order Intake, Sales and profit for assigned product lines in EMEA."
3,EMEA,"Become the single point of contact in the region for opportunities across product lines and for single product lines Support and provide input to the long-term product line business plans Be responsible for adapting sales prices in EMEA and a focal point for ad-hoc discount requests and in alignment with the discount guideline Drive specific sales cases and customer visits in coordination with the OEM PMs Lead the product quotes and contract quotes as well as support Customer Solutions and IMS in driving Contract bids for especially competitive products Own and drive the product marketing plan per region in coordination with Marketing Participate and support OEM QBRs and support QBR meetings with market and customer feedback Own the CRM pipeline targets per region to ensure target values are met Update of CRM leads based on gap analysis and selected campaigns Conduct contract follow-ups with sales How you will contribute to the team You will thrive in the role and become a highly valuable team member if you demonstrate your: Strong team player abilities Excellent communication skills Solid Business Acumen Good analytical skills and an ability to see the bigger picture and derive mid- to long-term recommendations on way forward Ability to balance and align varying interests of stakeholders Diplomatic sense and open/‘out-of-silo’ mind-set Capacity to build successful relations across functions and with all stakeholders in an international environment What does your next challenge look like? At SATAIR, we believe in sustainable aviation that allows people to travel and connect across the globe."
3,OEM,"Become the single point of contact in the region for opportunities across product lines and for single product lines Support and provide input to the long-term product line business plans Be responsible for adapting sales prices in EMEA and a focal point for ad-hoc discount requests and in alignment with the discount guideline Drive specific sales cases and customer visits in coordination with the OEM PMs Lead the product quotes and contract quotes as well as support Customer Solutions and IMS in driving Contract bids for especially competitive products Own and drive the product marketing plan per region in coordination with Marketing Participate and support OEM QBRs and support QBR meetings with market and customer feedback Own the CRM pipeline targets per region to ensure target values are met Update of CRM leads based on gap analysis and selected campaigns Conduct contract follow-ups with sales How you will contribute to the team You will thrive in the role and become a highly valuable team member if you demonstrate your: Strong team player abilities Excellent communication skills Solid Business Acumen Good analytical skills and an ability to see the bigger picture and derive mid- to long-term recommendations on way forward Ability to balance and align varying interests of stakeholders Diplomatic sense and open/‘out-of-silo’ mind-set Capacity to build successful relations across functions and with all stakeholders in an international environment What does your next challenge look like? At SATAIR, we believe in sustainable aviation that allows people to travel and connect across the globe."
3,Customer Solutions,"Become the single point of contact in the region for opportunities across product lines and for single product lines Support and provide input to the long-term product line business plans Be responsible for adapting sales prices in EMEA and a focal point for ad-hoc discount requests and in alignment with the discount guideline Drive specific sales cases and customer visits in coordination with the OEM PMs Lead the product quotes and contract quotes as well as support Customer Solutions and IMS in driving Contract bids for especially competitive products Own and drive the product marketing plan per region in coordination with Marketing Participate and support OEM QBRs and support QBR meetings with market and customer feedback Own the CRM pipeline targets per region to ensure target values are met Update of CRM leads based on gap analysis and selected campaigns Conduct contract follow-ups with sales How you will contribute to the team You will thrive in the role and become a highly valuable team member if you demonstrate your: Strong team player abilities Excellent communication skills Solid Business Acumen Good analytical skills and an ability to see the bigger picture and derive mid- to long-term recommendations on way forward Ability to balance and align varying interests of stakeholders Diplomatic sense and open/‘out-of-silo’ mind-set Capacity to build successful relations across functions and with all stakeholders in an international environment What does your next challenge look like? At SATAIR, we believe in sustainable aviation that allows people to travel and connect across the globe."
3,IMS,"Become the single point of contact in the region for opportunities across product lines and for single product lines Support and provide input to the long-term product line business plans Be responsible for adapting sales prices in EMEA and a focal point for ad-hoc discount requests and in alignment with the discount guideline Drive specific sales cases and customer visits in coordination with the OEM PMs Lead the product quotes and contract quotes as well as support Customer Solutions and IMS in driving Contract bids for especially competitive products Own and drive the product marketing plan per region in coordination with Marketing Participate and support OEM QBRs and support QBR meetings with market and customer feedback Own the CRM pipeline targets per region to ensure target values are met Update of CRM leads based on gap analysis and selected campaigns Conduct contract follow-ups with sales How you will contribute to the team You will thrive in the role and become a highly valuable team member if you demonstrate your: Strong team player abilities Excellent communication skills Solid Business Acumen Good analytical skills and an ability to see the bigger picture and derive mid- to long-term recommendations on way forward Ability to balance and align varying interests of stakeholders Diplomatic sense and open/‘out-of-silo’ mind-set Capacity to build successful relations across functions and with all stakeholders in an international environment What does your next challenge look like? At SATAIR, we believe in sustainable aviation that allows people to travel and connect across the globe."
3,QBR,"Become the single point of contact in the region for opportunities across product lines and for single product lines Support and provide input to the long-term product line business plans Be responsible for adapting sales prices in EMEA and a focal point for ad-hoc discount requests and in alignment with the discount guideline Drive specific sales cases and customer visits in coordination with the OEM PMs Lead the product quotes and contract quotes as well as support Customer Solutions and IMS in driving Contract bids for especially competitive products Own and drive the product marketing plan per region in coordination with Marketing Participate and support OEM QBRs and support QBR meetings with market and customer feedback Own the CRM pipeline targets per region to ensure target values are met Update of CRM leads based on gap analysis and selected campaigns Conduct contract follow-ups with sales How you will contribute to the team You will thrive in the role and become a highly valuable team member if you demonstrate your: Strong team player abilities Excellent communication skills Solid Business Acumen Good analytical skills and an ability to see the bigger picture and derive mid- to long-term recommendations on way forward Ability to balance and align varying interests of stakeholders Diplomatic sense and open/‘out-of-silo’ mind-set Capacity to build successful relations across functions and with all stakeholders in an international environment What does your next challenge look like? At SATAIR, we believe in sustainable aviation that allows people to travel and connect across the globe."
3,CRM,"Become the single point of contact in the region for opportunities across product lines and for single product lines Support and provide input to the long-term product line business plans Be responsible for adapting sales prices in EMEA and a focal point for ad-hoc discount requests and in alignment with the discount guideline Drive specific sales cases and customer visits in coordination with the OEM PMs Lead the product quotes and contract quotes as well as support Customer Solutions and IMS in driving Contract bids for especially competitive products Own and drive the product marketing plan per region in coordination with Marketing Participate and support OEM QBRs and support QBR meetings with market and customer feedback Own the CRM pipeline targets per region to ensure target values are met Update of CRM leads based on gap analysis and selected campaigns Conduct contract follow-ups with sales How you will contribute to the team You will thrive in the role and become a highly valuable team member if you demonstrate your: Strong team player abilities Excellent communication skills Solid Business Acumen Good analytical skills and an ability to see the bigger picture and derive mid- to long-term recommendations on way forward Ability to balance and align varying interests of stakeholders Diplomatic sense and open/‘out-of-silo’ mind-set Capacity to build successful relations across functions and with all stakeholders in an international environment What does your next challenge look like? At SATAIR, we believe in sustainable aviation that allows people to travel and connect across the globe."
3,CRM,"Become the single point of contact in the region for opportunities across product lines and for single product lines Support and provide input to the long-term product line business plans Be responsible for adapting sales prices in EMEA and a focal point for ad-hoc discount requests and in alignment with the discount guideline Drive specific sales cases and customer visits in coordination with the OEM PMs Lead the product quotes and contract quotes as well as support Customer Solutions and IMS in driving Contract bids for especially competitive products Own and drive the product marketing plan per region in coordination with Marketing Participate and support OEM QBRs and support QBR meetings with market and customer feedback Own the CRM pipeline targets per region to ensure target values are met Update of CRM leads based on gap analysis and selected campaigns Conduct contract follow-ups with sales How you will contribute to the team You will thrive in the role and become a highly valuable team member if you demonstrate your: Strong team player abilities Excellent communication skills Solid Business Acumen Good analytical skills and an ability to see the bigger picture and derive mid- to long-term recommendations on way forward Ability to balance and align varying interests of stakeholders Diplomatic sense and open/‘out-of-silo’ mind-set Capacity to build successful relations across functions and with all stakeholders in an international environment What does your next challenge look like? At SATAIR, we believe in sustainable aviation that allows people to travel and connect across the globe."
3,Solid Business Acumen,"Become the single point of contact in the region for opportunities across product lines and for single product lines Support and provide input to the long-term product line business plans Be responsible for adapting sales prices in EMEA and a focal point for ad-hoc discount requests and in alignment with the discount guideline Drive specific sales cases and customer visits in coordination with the OEM PMs Lead the product quotes and contract quotes as well as support Customer Solutions and IMS in driving Contract bids for especially competitive products Own and drive the product marketing plan per region in coordination with Marketing Participate and support OEM QBRs and support QBR meetings with market and customer feedback Own the CRM pipeline targets per region to ensure target values are met Update of CRM leads based on gap analysis and selected campaigns Conduct contract follow-ups with sales How you will contribute to the team You will thrive in the role and become a highly valuable team member if you demonstrate your: Strong team player abilities Excellent communication skills Solid Business Acumen Good analytical skills and an ability to see the bigger picture and derive mid- to long-term recommendations on way forward Ability to balance and align varying interests of stakeholders Diplomatic sense and open/‘out-of-silo’ mind-set Capacity to build successful relations across functions and with all stakeholders in an international environment What does your next challenge look like? At SATAIR, we believe in sustainable aviation that allows people to travel and connect across the globe."
3,Satair,"In Satair, you can challenge the status quo, pioneer new ways of working, and generate real value for airlines and suppliers worldwide."
3,pioneer,"In Satair, you can challenge the status quo, pioneer new ways of working, and generate real value for airlines and suppliers worldwide."
3,Airbus,"Being part of the Airbus family gives us the opportunity to live a global mindset, working in international and diverse teams and collaborating across functions, sites and cultures."
3,Satair,"Come on board and join us at Satair, an Airbus Services Company!"
3,Airbus Services Company!,"Come on board and join us at Satair, an Airbus Services Company!"
3,Satair,"To meet this goal, Satair is continually striving to innovate and provide best-in-class service levels by pioneering new products and services in a fast growing business environment."
3,Airbus,"Our customers have the ultimate goal to operate their fleet and our Airbus aircraft safely, efficiently in a cost-time-quality effective manner and of course with the expected comfort level for their customers."
3,Satair,We at Satair do everything to support our customers in this.
3,SATAIR Youtube Channel,"If you want to know more about our business, have a closer look at our website www.SATAIR.com or check out our SATAIR Youtube Channel at www.youtube.com/sataircompany !"
3,SATAIR,"What do we offer at SATAIR? At SATAIR, you will find much more than a job - we offer you the possibility of growing both your personal and professional capacities in a fun, supportive and informal working environment, where you will be encouraged to engage, share knowledge and ideas."
3,SATAIR,SATAIR is committed to achieving workforce diversity and creating an inclusive working environment.
3,flex days,"Here is a selection of some of the benefits we offer our employees in Copenhagen: Competitive remuneration, including short term incentive bonus on all levels Work/life balance: hybrid working, flex time, maternity/paternity/parental leave, 29 days of holiday + senior and flex days Personal development: personalized development plans, large portfolio of learning solutions and many internal mobility opportunities, both locally and globally Health and well-being: Health insurance, in-house canteen with many healthy options Come on board and join us at Satair, an Airbus Services Company Please send us your application as soon as possible to get the opportunity to become part of an exceptional global team!"
3,Satair,"Here is a selection of some of the benefits we offer our employees in Copenhagen: Competitive remuneration, including short term incentive bonus on all levels Work/life balance: hybrid working, flex time, maternity/paternity/parental leave, 29 days of holiday + senior and flex days Personal development: personalized development plans, large portfolio of learning solutions and many internal mobility opportunities, both locally and globally Health and well-being: Health insurance, in-house canteen with many healthy options Come on board and join us at Satair, an Airbus Services Company Please send us your application as soon as possible to get the opportunity to become part of an exceptional global team!"
3,Airbus Services Company,"Here is a selection of some of the benefits we offer our employees in Copenhagen: Competitive remuneration, including short term incentive bonus on all levels Work/life balance: hybrid working, flex time, maternity/paternity/parental leave, 29 days of holiday + senior and flex days Personal development: personalized development plans, large portfolio of learning solutions and many internal mobility opportunities, both locally and globally Health and well-being: Health insurance, in-house canteen with many healthy options Come on board and join us at Satair, an Airbus Services Company Please send us your application as soon as possible to get the opportunity to become part of an exceptional global team!"
3,Airbus,"When applying for the position, you accept our data privacy statement: http://www.SATAIR.com/privacy Satair (a 100% subsidiary of Airbus) is offering first class material management solutions in the aftermarket business of the aviation industry."
3,Satair,Change is the only constant at Satair.
3,Company,"This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth."
3,"Satair A/S
Contract Type:",Company: Satair A/S Contract Type: Permanent Experience Level: Professional Job Family: Customer Account and Service Management <JF-CS-CA> By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment.
3,Customer Account,Company: Satair A/S Contract Type: Permanent Experience Level: Professional Job Family: Customer Account and Service Management <JF-CS-CA> By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment.
3,Service Management,Company: Satair A/S Contract Type: Permanent Experience Level: Professional Job Family: Customer Account and Service Management <JF-CS-CA> By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment.
3,CV,Company: Satair A/S Contract Type: Permanent Experience Level: Professional Job Family: Customer Account and Service Management <JF-CS-CA> By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment.
3,Airbus,Company: Satair A/S Contract Type: Permanent Experience Level: Professional Job Family: Customer Account and Service Management <JF-CS-CA> By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment.
3,Airbus,This information will only be used by Airbus.
3,Airbus,Airbus is committed to achieving workforce diversity and creating an inclusive working environment.
3,Airbus,"Airbus is, and always has been, committed to equal opportunities for all."
3,Airbus,Any impersonation of Airbus to do so should be reported to emsom@airbus.com .
3,Airbus,"At Airbus, we support you to work, connect and collaborate more easily and flexibly."
4,Product Management,"Dalux continues to grow rapidly, and we want you to join us in our mission to drive innovation in the construction industry! Product Management at Dalux As a Product Manager in the Dalux team, you’ll work at the intersection of customer needs, technology, and business strategy to drive the development of our platform."
4,Product Design and Development,"Your main focus will be on improving user experience, managing the product roadmap, and collaborating closely with various stakeholders, such as Product Design and Development, to deliver high-quality features."
4,SaaS,"About you We believe you have a solid background in product management, as well as previous experience with SaaS-based platforms."
4,"Computer Science, Software Engineering","We also believe you… Have bachelor’s or master’s degree in Computer Science, Software Engineering or a related field Are able to balance strategic thinking with attention to detail in day-to-day operations Have experience working with agile methodologies and product management tools such as Jira and Trello Have strong communication skills in English, both written and verbal."
4,English,"We also believe you… Have bachelor’s or master’s degree in Computer Science, Software Engineering or a related field Are able to balance strategic thinking with attention to detail in day-to-day operations Have experience working with agile methodologies and product management tools such as Jira and Trello Have strong communication skills in English, both written and verbal."
4,Construction Technology,"Previous experience with Construction Technology or file management-/collaboration tools is plus, but not a requirement."
4,Daluxian,What to expect as a Daluxian Dalux is a company built by engineers for engineers.
4,CV,Either send us your motivated CV or reach out to Simone Jena Berg Christensen for more information.
4,Danish,"Who is Dalux? Founded in 2005, Dalux is a Danish software company build on a foundation of geometric processing and 3D computer graphics."
4,Contech,As a Contech company our products are aimed at making the construction industry smarter and more efficient.
4,AI,"This means we are at the forefront using cloud solutions, drones, computer vision and AI to change the way the construction industry works."
4,Talent Acquisition Specialist,"All our product development is located in our offices in Østerbro, Copenhagen.  Application deadline: Ongoing  Simone Jena Berg Christensen IT Talent Acquisition Specialist 40913437 sch@dalux.com Dalux | København Ø Lyngbyvej 2 2100 København Ø"
5,UX,"Extensive B2C e-commerce experience (ideally marketplaces) is required Solid understanding of e-commerce metrics and KPIs, including conversion rates, marketplace take rates, and customer retention Experience with agile development methodologies and a demonstrated ability to lead cross-functional teams Proven track record of delivering exceptional customer-facing UX Excellent communication and presentation skills, and the ability to influence diverse stakeholders and collaborate effectively with senior commercial stakeholders Direct experience working on products that heavily rely on algorithms, such as recommendation systems, search, personalization, or supply and demand matching  Working at Vivino Working at Vivino is challenging, fun, and rewarding."
5,Android,The Vivino app is available for download on Android and Apple devices.
5,Apple,The Vivino app is available for download on Android and Apple devices.
5,Offer Trust,"Our five core values are: Always Strive for Better Work Together Earn and Offer Trust Be Approachable Lead with Data  Commitment to diversity and inclusion Vivino is an equal opportunity employer and prohibits unlawful discrimination based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin or ancestry, age, disability, marital status, veteran status, or other characteristics protected by applicable law."
5,"Data

Commitment","Our five core values are: Always Strive for Better Work Together Earn and Offer Trust Be Approachable Lead with Data  Commitment to diversity and inclusion Vivino is an equal opportunity employer and prohibits unlawful discrimination based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin or ancestry, age, disability, marital status, veteran status, or other characteristics protected by applicable law."
6,AI Product,"Then join VML MAP as an AI Product Manager, where you'll help shape the future of intelligent products for some of the world’s most admired brands!"
6,AI,"As an AI Product Manager, you will manage the discovery, design, and delivery of transformative AI products that align with business goals, enhance user experiences, and support our mission to humanize AI applications."
6,Product Roadmap Development,"Product Roadmap Development: Developing and maintaining product roadmaps, ensuring alignment with business objectives and evolving customer needs."
6,Data-Driven Innovation,Data-Driven Innovation: Translating complex business problems into data-powered solutions with a strong understanding of large language models (LLMs) and generative AI applications.
6,the Triple Diamond,"Framework Application: Applying methodologies such as the Triple Diamond, Opportunity Canvas, AI Canvas, Feature Canvas, Process Mapping, and Organizational Change Management to drive adoption and deliver transformative outcomes."
6,Opportunity Canvas,"Framework Application: Applying methodologies such as the Triple Diamond, Opportunity Canvas, AI Canvas, Feature Canvas, Process Mapping, and Organizational Change Management to drive adoption and deliver transformative outcomes."
6,AI Canvas,"Framework Application: Applying methodologies such as the Triple Diamond, Opportunity Canvas, AI Canvas, Feature Canvas, Process Mapping, and Organizational Change Management to drive adoption and deliver transformative outcomes."
6,Organizational Change Management,"Framework Application: Applying methodologies such as the Triple Diamond, Opportunity Canvas, AI Canvas, Feature Canvas, Process Mapping, and Organizational Change Management to drive adoption and deliver transformative outcomes."
6,Ethical AI Governance: Ensuring,"Ethical AI Governance: Ensuring compliance with ethical guidelines, bias mitigation, and regulatory compliance (e.g., GDPR, AI Act)."
6,GDPR,"Ethical AI Governance: Ensuring compliance with ethical guidelines, bias mitigation, and regulatory compliance (e.g., GDPR, AI Act)."
6,the Agentic Design Lab,"You will be part of the Agentic Design Lab, collaborating closely with a diverse team of engineers, data scientists, strategists, and marketers."
6,AI Product & Innovation,"Reporting to the Head of AI Product & Innovation, you’ll receive guidance and support to explore new opportunities and deliver impactful outcomes."
6,AI,"You’re a forward-thinking individual with a passion for AI and a proven ability to navigate complex, fast-changing environments."
6,AI,"Additionally, you bring: 5+ years of experience in product management, AI, or data-driven innovation within digital marketing or related fields."
6,Triple Diamond Methodology,"Proficiency in frameworks such as Triple Diamond Methodology, Opportunity Canvas, AI Canvas, and process mapping."
6,Opportunity Canvas,"Proficiency in frameworks such as Triple Diamond Methodology, Opportunity Canvas, AI Canvas, and process mapping."
6,AI Canvas,"Proficiency in frameworks such as Triple Diamond Methodology, Opportunity Canvas, AI Canvas, and process mapping."
6,English,"A track record of defining product visions, developing strategies, and executing roadmaps in complex environments. Fluency in English and comfort with ambiguity."
6,Success,"Success in this role will be measured by your ability to deliver tangible results and foster collaboration across teams including: 1) Product adoption and user engagement rates, 2) Business impact metrics (e.g. revenue growth, cost reduction, efficiency improvement), 3) Time-to-market for AI-driven solutions 4) Satisfaction of internal and external stakeholders."
6,Centre of Excellence,"A leader in personalized customer experiences VML MAP is a world-leading Centre of Excellence that helps businesses humanize the relationship between the brand and the customer through hyper personalization at scale, marketing automation and CRM."
6,CRM,"A leader in personalized customer experiences VML MAP is a world-leading Centre of Excellence that helps businesses humanize the relationship between the brand and the customer through hyper personalization at scale, marketing automation and CRM."
6,WPP,#LI-EMEA WPP (VML MAP) is an equal opportunity employer and considers applicants for all positions without discrimination or regard to characteristics.
6,Instagram,"For more information, please visit our website, and follow VML MAP on our social channels via Instagram, LinkedIn and X. When you click “Apply now” below, your information is sent to VML MAP."
6,LinkedIn,"For more information, please visit our website, and follow VML MAP on our social channels via Instagram, LinkedIn and X. When you click “Apply now” below, your information is sent to VML MAP."
6,California Recruitment Privacy Notice,California residents should read our California Recruitment Privacy Notice.
7,B Corporation,"We're more than an app: we are a certified B Corporation with a mission to empower everyone to take action against food waste, so alongside our marketplace app, we create educational tools, explore new business solutions - such as our Retail Technologies offering, and influence legislation to help reduce food waste."
7,Retail Technologies,"We're more than an app: we are a certified B Corporation with a mission to empower everyone to take action against food waste, so alongside our marketplace app, we create educational tools, explore new business solutions - such as our Retail Technologies offering, and influence legislation to help reduce food waste."
7,Product Organisation,"As a Staff Product Manager, you will join our established Product Organisation."
7,The Product Organisation,"The Product Organisation is overall responsible for driving the product development and optimisation of the entire Too Good To Go product portfolio and consists of Product Managers, Data/Insights analysts and Product/UX Designers."
7,Product Managers,"The Product Organisation is overall responsible for driving the product development and optimisation of the entire Too Good To Go product portfolio and consists of Product Managers, Data/Insights analysts and Product/UX Designers."
7,VP,We currently have an open position as Staff Product Manager - which reports directly to our VP of Product Troels Støvring.
7,Product Troels Støvring,We currently have an open position as Staff Product Manager - which reports directly to our VP of Product Troels Støvring.
7,KPI,"Leveraging various data (consumer data, market data, customer and partner feedback etc.) to make product recommendations and identify new opportunities Use business and consumer insights and KPI's to communicate progress and performance within the product domain Orchestrating and project managing one or more cross-functional team(s) working on deliveries as defined in product roadmaps Collaborating with the wider business, to understand consumer and/or partner pain points to solve, both globally and locally in our markets."
7,Collaborating,"Leveraging various data (consumer data, market data, customer and partner feedback etc.) to make product recommendations and identify new opportunities Use business and consumer insights and KPI's to communicate progress and performance within the product domain Orchestrating and project managing one or more cross-functional team(s) working on deliveries as defined in product roadmaps Collaborating with the wider business, to understand consumer and/or partner pain points to solve, both globally and locally in our markets."
7,Designers and Engineers,Comfortably switches between strategy thinking (Proven background in product strategy plans) and short-term execution Proven analytical skills and quantitative skills with a demonstrated ability to manage and understand business needs Ability to bridge the gap between technology and consumer/partner needs - knows how to work together with highly technical people like Designers and Engineers on iterations and product testing to discover solutions that tackle pain points and meet end-user needs.
7,Too Good To Go,Please also check our website and international media in order to get a good overview of Too Good To Go.
7,CV,Submit your CV and Cover letter in English.
7,Cover,Submit your CV and Cover letter in English.
7,English,Submit your CV and Cover letter in English.
7,CV,No CV or Cover Letter will be accepted by email or LinkedIn direct messaging.
7,Cover Letter,No CV or Cover Letter will be accepted by email or LinkedIn direct messaging.
8,SaaS,Are you ready to help with shaping product narratives at one of the fastest-growing SaaS companies?
8,Europe,"Join us and be part of a Product Marketing team of highly driven, motivated people The opportunity and what we offer Formalize is on a scaling journey with significant traction across Europe."
8,SaaS,"We’re looking for a Product Marketing Manager to join our Marketing team and take the lead on creating sales-enablement content that helps us win deals and position our product clearly.  Be part of a fast-growing international SaaS company High level of trust and autonomy Be part of a social, diverse and international team"
8,Develop,"Create Marketing content briefs and first drafts for collateral, one-pagers, and pitch decks Turn product features into clear, benefit-focused messaging tailored to customer needs Conduct competitor research and build insights to support differentiation Develop and maintain battlecards, and share competitor intel with Sales and Customer teams Collaborate across Sales, Product, and Customer Success to align messaging and learn from the field Support launches and campaigns with content mapped to buyer journeys and key personas Help build a scalable messaging library and toolkit for customer-facing teams Qualifications and about you 2–5 years of experience in Product Marketing, preferably in B2B SaaS Skilled at simplifying complex information and crafting value-driven messaging Confident in building collateral for different stages of the sales cycle Analytical mindset with experience gathering and presenting competitive intelligence Fluent in English — Danish is a plus, but not required Collaborative, curious, and eager to understand both product and market deeply About Formalize Formalize is a tech company founded in 2021 with offices in Aarhus, Copenhagen, Milan, and Madrid."
8,intel,"Create Marketing content briefs and first drafts for collateral, one-pagers, and pitch decks Turn product features into clear, benefit-focused messaging tailored to customer needs Conduct competitor research and build insights to support differentiation Develop and maintain battlecards, and share competitor intel with Sales and Customer teams Collaborate across Sales, Product, and Customer Success to align messaging and learn from the field Support launches and campaigns with content mapped to buyer journeys and key personas Help build a scalable messaging library and toolkit for customer-facing teams Qualifications and about you 2–5 years of experience in Product Marketing, preferably in B2B SaaS Skilled at simplifying complex information and crafting value-driven messaging Confident in building collateral for different stages of the sales cycle Analytical mindset with experience gathering and presenting competitive intelligence Fluent in English — Danish is a plus, but not required Collaborative, curious, and eager to understand both product and market deeply About Formalize Formalize is a tech company founded in 2021 with offices in Aarhus, Copenhagen, Milan, and Madrid."
